ts,exp_id,arch,label,features,hp,pool,weighting,grid,monotone,n_train_rows,rank_ic,rank_ic_t,prior_ic,ic_vs_prior,pct_pos_years,hit30,g1_pass,ic_by_year,port_mean_monthly,port_sharpe,port_max_dd,port_calmar,port_turnover,port_avg_gross,runtime_s,notes
2026-06-11T21:54:41,S1_01_Arank_L1,A_rank,L1,F1,HP_S,80,EW,5,False,79402,0.03909,3.46,0.01758,0.02151,1.0,0.5153,False,"{""2018"": 0.0242, ""2019"": 0.0258, ""2020"": 0.0744, ""2021"": 0.0502, ""2022"": 0.0205}",,,,,,,1.1,
2026-06-11T21:54:42,S1_02_Arank_L2,A_rank,L2,F1,HP_S,80,EW,5,False,79402,0.0124,1.4,0.01758,-0.00518,0.6,0.5019,False,"{""2018"": 0.0441, ""2019"": -0.0303, ""2020"": -0.0308, ""2021"": 0.067, ""2022"": 0.0129}",,,,,,,1.1,
2026-06-11T21:54:43,S1_03_Areg_L1,A_reg,L1,F1,HP_S,80,EW,5,False,79402,0.02007,1.96,0.01758,0.00249,0.8,0.5015,False,"{""2018"": -0.0004, ""2019"": 0.0083, ""2020"": 0.0035, ""2021"": 0.0821, ""2022"": 0.0074}",,,,,,,1.1,
2026-06-11T21:54:44,S1_04_Areg_L2,A_reg,L2,F1,HP_S,80,EW,5,False,79402,-0.00857,-0.8,0.01758,-0.02615,0.4,0.4911,False,"{""2018"": -0.0251, ""2019"": -0.0092, ""2020"": -0.0831, ""2021"": 0.0627, ""2022"": 0.0129}",,,,,,,1.0,
2026-06-11T21:54:46,S1_05_Bcls_L1,B_cls,L1,F1,HP_S,80,EW,5,False,79402,0.03259,3.02,0.01758,0.01501,1.0,0.5115,False,"{""2018"": 0.0056, ""2019"": 0.0323, ""2020"": 0.0377, ""2021"": 0.0739, ""2022"": 0.0137}",,,,,,,1.1,
2026-06-11T21:54:47,S1_06_Bcls_L2,B_cls,L2,F1,HP_S,80,EW,5,False,79402,-0.00828,-0.49,0.01758,-0.02586,0.2,0.5,False,"{""2018"": NaN, ""2019"": NaN, ""2020"": -0.0367, ""2021"": NaN, ""2022"": 0.0207}",,,,,,,1.0,
2026-06-11T21:54:53,S1_07_Areg_L1_p120,A_reg,L1,F1,HP_S,120,EW,5,False,118095,0.03341,3.11,0.02452,0.00889,1.0,0.5116,False,"{""2018"": 0.0378, ""2019"": 0.0186, ""2020"": 0.0303, ""2021"": 0.0781, ""2022"": 0.0028}",,,,,,,6.4,
2026-06-11T21:54:54,S1_08_Bcls_L1_p120,B_cls,L1,F1,HP_S,120,EW,5,False,118095,0.01908,1.57,0.02452,-0.00544,0.6,0.5056,False,"{""2018"": -0.0068, ""2019"": NaN, ""2020"": 0.0322, ""2021"": 0.0235, ""2022"": 0.027}",,,,,,,1.3,
2026-06-11T21:54:54,S1_09_Areg_L1_IV,A_reg,L1,F1,HP_S,80,IV,5,False,79402,0.02007,1.96,0.01758,0.00249,0.8,0.5015,False,"{""2018"": -0.0004, ""2019"": 0.0083, ""2020"": 0.0035, ""2021"": 0.0821, ""2022"": 0.0074}",,,,,,,1.1,
2026-06-11T21:54:54,S1_10_Bcls_L1_IV,B_cls,L1,F1,HP_S,80,IV,5,False,79402,0.03259,3.02,0.01758,0.01501,1.0,0.5115,False,"{""2018"": 0.0056, ""2019"": 0.0323, ""2020"": 0.0377, ""2021"": 0.0739, ""2022"": 0.0137}",,,,,,,1.1,
2026-06-11T21:54:55,S1_11_Areg_L1_mono,A_reg,L1,F1,HP_S,80,EW,5,True,79402,0.02036,2.01,0.01758,0.00278,0.8,0.503,False,"{""2018"": -0.0006, ""2019"": 0.0083, ""2020"": 0.0071, ""2021"": 0.0816, ""2022"": 0.0058}",,,,,,,1.1,
2026-06-11T21:54:56,S1_12_Arank_L1_g21,A_rank,L1,F1,HP_S,80,EW,21,False,18838,0.02406,2.32,0.01758,0.00647,1.0,0.5138,False,"{""2018"": 0.0041, ""2019"": 0.0067, ""2020"": 0.0699, ""2021"": 0.0203, ""2022"": 0.0184}",,,,,,,0.8,
2026-06-11T21:56:04,S1_01_Arank_L1_diagI2,A_rank,L1,F1,HP_S,80,EW,5,False,79402,0.03909,3.46,0.01758,0.02151,1.0,0.5153,False,"{""2018"": 0.0242, ""2019"": 0.0258, ""2020"": 0.0744, ""2021"": 0.0502, ""2022"": 0.0205}",0.04811454766212355,1.0946312842033028,-0.633624322876555,0.8705312469608486,13.770008585859879,1.5736363356619618,1.3,
2026-06-11T21:56:05,S1_05_Bcls_L1_diagI2,B_cls,L1,F1,HP_S,80,EW,5,False,79402,0.03259,3.02,0.01758,0.01501,1.0,0.5115,False,"{""2018"": 0.0056, ""2019"": 0.0323, ""2020"": 0.0377, ""2021"": 0.0739, ""2022"": 0.0137}",0.0423143761367535,1.029669804643507,-0.5964075401119358,0.8008426553854109,15.131461103920474,1.573636335661962,1.2,
2026-06-11T22:22:17,V_06_Bcls_L2_rawscore,B_cls,L2,F1,HP_S,80,EW,5,False,,-0.0039,,0.01758,-0.0215,0.4,0.4942,False,"{""2018"": -0.0109, ""2019"": -0.0041, ""2020"": -0.0511, ""2021"": 0.0381, ""2022"": 0.0093}",,,,,,,,"verification: raw pre-isotonic scores (anomaly check, not a new config)"
