,cagr,mean_monthly,median_monthly,ann_vol,sharpe,max_drawdown,calmar,hit_rate_monthly,worst_month,best_month,avg_n_positions,turnover_annualized,name,start,end,n_days,final_equity,sortino,avg_gross_exposure
combo_v2_2x_freeze_dd_v1,0.626416794613968,0.05218379955665459,0.0420371406432869,0.5272894943066287,1.1919894662474293,-0.5576561196381429,1.123303004404297,0.6386554621848739,-0.3467383498769707,0.46205357448148376,42.72014331210191,16.00362966818323,combo_v2_2x_freeze_dd_v1,2016-04-01,2026-03-27,2512,12856943.497874103,1.480442572409831,1.66869243907683
combo_v2_2x_baseline,0.5652555827979155,0.04955838255831459,0.03729413071145493,0.5865914713785203,1.0631858811104027,-0.6527925022213841,0.8659039141448629,0.6302521008403361,-0.2912904965957316,0.649263085551766,43.738853503184714,14.975397254546959,combo_v2_2x_baseline,2016-04-01,2026-03-27,2512,8768443.639312983,1.3181077880191738,1.7009376620067667
combo_v2_2x,0.5652555827979155,0.0495583825583145,0.0372941307114549,0.5865914713785203,1.063185881110403,-0.6527925022213841,0.8659039141448629,0.6302521008403361,-0.2912904965957316,0.649263085551766,43.738853503184714,14.97539725454696,combo_v2_2x,2016-04-01,2026-03-27,2512.0,8768443.639312983,1.3181077880191738,1.7009376620067669
combo_v2_2x_freeze_dd,0.5640651018033027,0.0478374320273686,0.0396164383503006,0.5223904450765874,1.1230452457114168,-0.5795813558025877,0.9732285142647514,0.6302521008403361,-0.3467383498769707,0.462053574481484,42.234872611464965,16.425394134787698,combo_v2_2x_freeze_dd,2016-04-01,2026-03-27,2512.0,8702081.279555473,1.3888685169339594,1.651309211900609
combo_v2_2x_freeze_dd_v2,0.5452429484548624,0.04662736783798007,0.03261405550468788,0.5064744342744316,1.117655988778887,-0.49356322544825093,1.104707401892992,0.6386554621848739,-0.34673834987697105,0.46205357448148354,40.64331210191083,16.73092823876212,combo_v2_2x_freeze_dd_v2,2016-04-01,2026-03-27,2512,7711196.2644030275,1.3649633536150614,1.5943824603082528
combo_4way_2.5x,0.4503099408457545,0.0417332583667786,0.0305261440651867,0.5042369652124875,0.995017402844302,-0.59490255285394,0.75694740035233,0.6470588235294118,-0.3677369746218754,0.5443495383098798,66.48487261146497,29.53471682779921,,,,,,,
combo_4way_2x,0.3747905112231173,0.0333951061450648,0.0256492228224309,0.4033895721699902,0.9950174028443002,-0.5015462064727416,0.7472701545465417,0.6470588235294118,-0.2959712414724588,0.4196448341470378,66.48487261146497,23.62777346223937,,,,,,,
xs_momentum_top30,0.3519588722253934,0.0293961999131764,0.0132221151273355,0.3345655196854808,1.0715995722282656,-0.4121572369889671,0.8539432057450805,0.6050420168067226,-0.2004227057627212,0.3324919460620033,26.48885350318471,6.3,,,,,,,
xs_momentum_fast_top10,0.2929272542471768,0.0287683151969209,0.0191555603632755,0.3982076395366674,0.8459414112515402,-0.4668943607901344,0.6273951429857715,0.5630252100840336,-0.3406087466420481,0.5363420522759903,9.621815286624203,33.105095541401276,,,,,,,
dual_momentum_vol,0.3393230833343497,0.0279361610552944,0.0296856259381836,0.3091344307051514,1.1031097716230078,-0.4604359806909679,0.7369603974588035,0.6722689075630253,-0.1798941285436069,0.3192707912551458,27.993630573248407,10.826232300850718,,,,,,,
xs_momentum_12_1,0.3156524605892472,0.0262407011504999,0.0182991236175591,0.3045502652461143,1.0560327085047994,-0.4015028816595419,0.786177322774255,0.5966386554621849,-0.1873648297368931,0.2697444469090941,44.14808917197452,5.878662420382162,,,,,,,
FINAL_3pct_lev_1.5x,0.3040314970405502,0.025846035148479,0.0162435273168262,0.3055107117511531,1.0250300602690168,-0.4012623902093775,0.7576874993988535,0.6554621848739496,-0.219267169143084,0.2485623143542936,44.28662420382165,10.212694583997536,,,,,,,
combo_4way_1.5x,0.289527228634582,0.0250661677286912,0.020145080348271,0.3025421791274926,0.9950174028443012,-0.3981655370467537,0.7271529092699576,0.6554621848739496,-0.2226289228850853,0.3032774466716796,66.48487261146497,17.720830096679528,,,,,,,
regime_gated_momentum,0.2914750308232265,0.024700436638737,0.0097635679307617,0.3122815409602899,0.977769689891114,-0.4121572369889669,0.7071937713689329,0.5966386554621849,-0.149410763192047,0.3324919460620037,26.48885350318471,6.215352952225194,,,,,,,
multi_dd_lev_1.3x,0.2583625171493793,0.0240671475397088,0.0047485409233891,0.3788734148617529,0.7992451003732005,-0.5463146446701541,0.472918893297048,0.5378151260504201,-0.225020924088513,0.3241298411982207,25.736464968152863,17.554836915376136,,,,,,,
adaptive_voltarget_momentum,0.2778289313149105,0.0236824379258465,0.0128271157687216,0.3248666104558988,0.9198722935030617,-0.3467011372968247,0.8013499277247828,0.5798319327731093,-0.1714493819397813,0.3530501688535643,26.48885350318471,9.52865909019812,adaptive_voltarget_momentum,2016-04-01,2026-03-27,2512.0,1156442.0699573385,1.1063278871001054,0.912221337579618
combo_4way_kelly_0.6,0.2582870946292321,0.02314658298973,0.0120710290899566,0.3108747755024109,0.8976648716426453,-0.4536197953142493,0.5693911449572022,0.6218487394957983,-0.2282464444465037,0.3266577747011596,66.44307324840764,24.577863155602035,,,,,,,
xs_momentum_fast,0.2450976832961955,0.0227585578807881,0.0191536541132379,0.3215320123297342,0.8449728167371999,-0.4336440850257693,0.5652047191687869,0.5882352941176471,-0.2926659503844989,0.4036350750836615,19.243630573248407,30.175796178343948,,,,,,,
FINAL_3pct_lev_1.3x,0.2655895242456914,0.0224386086460836,0.0144452796156877,0.2647759501843324,1.025030060269014,-0.3559852121939064,0.7460689802502914,0.6554621848739496,-0.1917521279891165,0.2128920402675598,44.28662420382165,8.851001972797867,,,,,,,
combo_v2_2x_freeze_both,0.1869337743793437,0.0216821612440876,0.0,0.4081438453109999,0.6276782869896512,-0.656944776888512,0.2845502102394638,0.453781512605042,-0.3756151603148686,0.4195186980233811,28.428343949044585,13.247759530723547,combo_v2_2x_freeze_both,2016-04-01,2026-03-27,2512.0,553533.8088059193,0.6224867056473863,1.13880042462845
