cand,mean_ok,dd_ok,calmar_ok,turn_ok,tc20_calmar,tc20_drop,tc20_ok,covid_ok,G2
ASM_Ast_TF1,True,False,False,True,1.0829374829383405,0.07989858300156172,True,True,False
ASM_Ast_T,True,False,False,True,1.043349715195631,0.07515421219977314,True,True,False
ASM_Ast_F1,True,False,False,True,0.9769609756227464,0.07298394692246923,True,True,False
ASM_Asx_TF1,False,False,False,True,0.9221107253468477,0.08576668233631335,True,True,False
ASM_Asx_T,False,False,False,True,0.9122325323058429,0.07925098846526202,True,True,False
ASM_Asx_F1,True,False,False,True,0.933804098327997,0.07411965960548383,True,True,False
ASM_Bst_TF1,True,False,True,True,1.239205818715976,0.07103100827663578,True,True,False
ASM_Bst_T,True,False,False,True,1.2128490373332268,0.0651824275607682,True,True,False
ASM_Bst_F1,True,False,False,True,1.0736724109308715,0.06774311999477345,True,True,False
ASM_Bsx_TF1,True,False,False,True,1.1333537526764044,0.07254758568202058,True,True,False
ASM_Bsx_T,True,False,False,True,1.132771391976081,0.0659142547690661,True,True,False
ASM_Bsx_F1,True,False,False,True,1.041387380600436,0.06745320429614998,True,True,False
