cand,base,alloc,overlay,tc,track,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,avg_gross,ep_2018Q4_ret,ep_2018Q4_dd,ep_covid_ret,ep_covid_dd,ep_2022_ret,ep_2022_dd,ep_2026Q1_ret,ep_2026Q1_dd,tier_events
ASM_Ast_base,A,st,none,5.0,next_open,0.045546739999310346,1.0440033129817838,-0.6019153206391645,0.8580186751301543,14.141159725477893,1.618903825373896,-0.43284424054833903,-0.5055166986123909,-0.4838122239819703,-0.6019153206391645,0.08030365542394446,-0.43604490388575223,,,
ASM_Ast_TF1,A,st,TF1,5.0,tier_loop_cc,0.04568441164868224,1.2417583180414202,-0.4799788179598561,1.176976214721098,16.960332922779866,1.4689136235318423,-0.45775932999749847,-0.45775932999749847,-0.22232367594976266,-0.22232367594976266,0.20970368033068598,-0.27027141128355714,,,"{""tier1"": 19, ""tier2"": 0, ""tier3"": 0}"
ASM_Ast_TF1_tc10,A,st,TF1,10.0,tier_loop_cc,0.04493280817692334,1.2219067468482627,-0.4816505891067526,1.145184751346716,16.960332922779866,1.4689136235318423,-0.4595025326555664,-0.4595025326555664,-0.22365142757611312,-0.22365142757611312,0.19734033215745583,-0.27101880509797893,,,"{""tier1"": 19, ""tier2"": 0, ""tier3"": 0}"
ASM_Ast_TF1_tc20,A,st,TF1,20.0,tier_loop_cc,0.04343023414006527,1.182159755477128,-0.4849813875496445,1.0829374829383405,16.960332922779866,1.4689136235318423,-0.4629756496009787,-0.4629756496009787,-0.2263026838860518,-0.2263026838860518,0.1729694687381753,-0.27251246259801376,,,"{""tier1"": 19, ""tier2"": 0, ""tier3"": 0}"
ASM_Ast_T,A,st,T,5.0,tier_loop_cc,0.04613681098367277,1.202998294476475,-0.49691239273911136,1.1281337158676683,16.370254246506825,1.507244017417792,-0.39832025741207133,-0.4754164433054945,-0.34408385964007016,-0.42454205392072863,0.15444744748766692,-0.35294450788073317,,,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
ASM_Ast_T_tc10,A,st,T,10.0,tier_loop_cc,0.045409106481238734,1.184513771320279,-0.4981111360556342,1.0995348311277908,16.370254246506825,1.507244017417792,-0.39975392335753446,-0.47666640657922543,-0.345790855460248,-0.42557175895603583,0.14456940475286828,-0.35463372460087483,,,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
ASM_Ast_T_tc20,A,st,T,20.0,tier_loop_cc,0.04395425330017487,1.147521050284126,-0.5005022766560581,1.043349715195631,16.370254246506825,1.507244017417792,-0.4026136655578796,-0.47915971594050444,-0.34919508377511854,-0.42762762715604863,0.12504984245179607,-0.35800116564982953,,,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
ASM_Ast_F1,A,st,F1,5.0,next_open,0.046550762279568045,1.1411435235006386,-0.5207295211699114,1.0538770848459498,15.168345519708316,1.5618785461263947,-0.49974074896411924,-0.49974074896411924,-0.35404148236706046,-0.35404148236706046,0.24881205162706177,-0.29725296864761097,,,
ASM_Ast_F1_tc10,A,st,F1,10.0,next_open,0.04588465595475973,1.1257140270896286,-0.5225361942649228,1.0278984473978436,15.168345519708316,1.5618785461263947,-0.5012165053410147,-0.5012165053410147,-0.3551955879094465,-0.3551955879094465,0.23754281358609197,-0.2976590488423365,,,
ASM_Ast_F1_tc20,A,st,F1,20.0,next_open,0.04455269571119369,1.0947792225706408,-0.5261332659466535,0.9769609756227464,15.168345519708316,1.5618785461263947,-0.5041582859532281,-0.5041582859532281,-0.3575007035357849,-0.3575007035357849,0.21528431159140626,-0.2984712092317866,,,
ASM_Asx_base,A,sx,none,5.0,next_open,0.04608127561405819,1.0659485660048096,-0.5400004866277619,0.9759494727280487,14.282982520936855,1.6156310862072698,-0.4416255585201915,-0.518001514808685,-0.42381737557392596,-0.5400004866277619,0.04628094551328554,-0.45061696401494067,,,
ASM_Asx_TF1,A,sx,TF1,5.0,tier_loop_cc,0.0429547118028996,1.1598260940054697,-0.5077073086778521,1.008616408449532,17.185555195607098,1.4701382694792138,-0.4863698652514886,-0.4863698652514886,-0.25570762105628664,-0.25570762105628664,0.08297687578213009,-0.33099467996301646,,,"{""tier1"": 17, ""tier2"": 1, ""tier3"": 0}"
ASM_Asx_TF1_tc10,A,sx,TF1,10.0,tier_loop_cc,0.042197436682475775,1.1398928144301854,-0.5095412752741881,0.9793592706951088,17.185555195607098,1.4701382694792138,-0.48828332146687636,-0.48828332146687636,-0.2568512996369561,-0.2568512996369561,0.07143281135978419,-0.33368486375986073,,,"{""tier1"": 17, ""tier2"": 1, ""tier3"": 0}"
