name,B,T,F,V,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,avg_gross,ep_covid_dd,ep_2018Q4_dd,ep_2022_ret,ep_2022_dd,track,untiered_cc_calmar,untiered_cc_mm,untiered_cc_dd,tier_events
E5_none,0,0,,0,0.045546739999310346,1.0440033129817838,-0.6019153206391645,0.8580186751301543,14.141159725477893,1.618903825373896,-0.6019153206391645,-0.5055166986123909,0.08030365542394446,-0.43604490388575223,next_open,,,,
E5_F1,0,0,v1,0,0.046550762279568045,1.1411435235006386,-0.5207295211699114,1.0538770848459498,15.168345519708316,1.5618785461263947,-0.35404148236706046,-0.49974074896411924,0.24881205162706177,-0.29725296864761097,next_open,,,,
E5_F2,0,0,v2,0,0.03746998005276668,0.9951353956212063,-0.4829147125408768,0.877621249818091,16.242404314119945,1.4687960456364866,-0.3139497170307872,-0.438862517747984,-0.10494564123111172,-0.32091267216090413,next_open,,,,
E5_V,0,0,,1,0.0276777901499393,1.0690780725518207,-0.35424888668901233,0.9320552427746771,16.6638127040807,1.10191142387546,-0.30423644673118566,-0.3285681908498287,-0.010131054195710587,-0.2502091132235418,next_open,,,,
E5_F1+V,0,0,v1,1,0.02727707217526242,1.084924708472049,-0.3503607327753777,0.927371980355583,16.94053889848908,1.079463208592103,-0.21067336206148057,-0.3241499903064655,0.042011866413139254,-0.17895222633029073,next_open,,,,
E5_F2+V,0,0,v2,1,0.02425188346014389,0.9980140683443933,-0.32194679592501685,0.8812863100940265,17.26014892536027,1.0382400577572788,-0.1965883041682166,-0.28278357239550145,-0.08531125514832794,-0.20304831378784471,next_open,,,,
E5_T,0,1,,0,0.04613681098367277,1.202998294476475,-0.49691239273911136,1.1281337158676683,16.370254246506825,1.507244017417792,-0.42454205392072863,-0.4754164433054945,0.15444744748766692,-0.35294450788073317,tier_loop_cc,0.8422545522539943,0.045047851467869694,-0.6017848042367799,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
E5_T+F1,0,1,v1,0,0.04568441164868224,1.2417583180414202,-0.4799788179598561,1.176976214721098,16.960332922779866,1.4689136235318423,-0.22232367594976266,-0.45775932999749847,0.20970368033068598,-0.27027141128355714,tier_loop_cc,1.088154946598777,0.047275875746368344,-0.5182782292626846,"{""tier1"": 19, ""tier2"": 0, ""tier3"": 0}"
E5_T+F2,0,1,v2,0,0.03739760343459152,1.0918622372375695,-0.4377011606253566,1.022655873985801,17.62639776680421,1.3908810936474603,-0.21098010527693056,-0.40011101439108543,-0.06683729533395377,-0.30580390051493866,tier_loop_cc,0.8795583409136529,0.03745969917176627,-0.48192160330317635,"{""tier1"": 17, ""tier2"": 0, ""tier3"": 0}"
E5_T+V,0,1,,1,0.026829773291297133,1.0424903649445185,-0.3658442974543161,0.8658699078509191,16.770298217088556,1.097959694052715,-0.30066770469716786,-0.34155000095605303,-0.02612229081353712,-0.25090427481093514,tier_loop_cc,0.8824263925570027,0.027231812793850185,-0.3658442974543161,"{""tier1"": 1, ""tier2"": 0, ""tier3"": 0}"
E5_T+F1+V,0,1,v1,1,0.027017795927958548,1.0838067662228277,-0.35389543333711804,0.908687240464699,17.047024411496942,1.0755114787693578,-0.16687302963744932,-0.3291433797824801,0.012250551139628696,-0.18089900416825044,tier_loop_cc,0.9258652131587245,0.02741983543051159,-0.35389543333711804,"{""tier1"": 1, ""tier2"": 0, ""tier3"": 0}"
E5_T+F2+V,0,1,v2,1,0.02389627656632938,0.9888893125090049,-0.32738074754490554,0.8492649502511674,17.36663443836813,1.0342883279345334,-0.16326415783704984,-0.29316208371382213,-0.09518791904674662,-0.2079245428204174,tier_loop_cc,0.8672223004328797,0.02429831606888242,-0.3273807475449061,"{""tier1"": 1, ""tier2"": 0, ""tier3"": 0}"
E5_B,1,0,,0,0.03832534934519101,0.9921811546455037,-0.48335860078444803,0.8559959049195619,21.644160131057347,1.509125582211929,-0.3922432464202885,-0.46128352433142894,-0.06207233630403808,-0.36478524645427524,next_open,,,,
E5_B+F1,1,0,v1,0,0.03850570434152014,1.0280627371108113,-0.48234925557643726,0.8907328961238868,21.106483828090617,1.4845544427933464,-0.2632167073313856,-0.4596796899829413,-0.041357022371254604,-0.2956606441160111,next_open,,,,
E5_B+F2,1,0,v2,0,0.03242920103957759,0.9134089796153831,-0.5259204438750116,0.658134348854755,21.486873712881852,1.4072669122879689,-0.24756236101212192,-0.4331468623585195,-0.20769559287220996,-0.3333022392809467,next_open,,,,
E5_B+V,1,0,,1,0.024021285295715223,0.9914972194225652,-0.32725069664209216,0.8440068751911549,19.16640610206855,1.0502680421200026,-0.21842310199103965,-0.3004963173163272,-0.08060612700609482,-0.23848167965555345,next_open,,,,
E5_B+F1+V,1,0,v1,1,0.024008652198213715,1.0028574298707404,-0.3264976419623855,0.8515802442925657,18.908910948677896,1.0398272096185932,-0.16177557368289364,-0.29932410466353043,-0.07485638682969153,-0.20919304177774378,next_open,,,,
E5_B+F2+V,1,0,v2,1,0.02179742138598989,0.9333226342935933,-0.3208434240258078,0.7722174754622386,19.065377119455107,1.0046007349176587,-0.1565109768843692,-0.2816164715734504,-0.14103868866417468,-0.2064020877471343,next_open,,,,
E5_B+T,1,1,,0,0.037889429270678975,1.0817923154511597,-0.4439511487652944,0.9799762980298797,22.114415650114157,1.427190188453346,-0.34811165474929995,-0.4185263653450565,0.001748129076635463,-0.31097279322005855,tier_loop_cc,0.9015840292737082,0.03896632943309204,-0.47182963705685377,"{""tier1"": 19, ""tier2"": 0, ""tier3"": 0}"
E5_B+T+F1,1,1,v1,0,0.03850759265444552,1.128486254550617,-0.4375829828709715,1.0436080229924458,21.59885820145751,1.405597464948682,-0.1902230376080697,-0.4135520038002791,-0.0053898856046205035,-0.26497291225908415,tier_loop_cc,0.9759060121890291,0.03977260550466178,-0.4657807503732143,"{""tier1"": 18, ""tier2"": 0, ""tier3"": 0}"
E5_B+T+F2,1,1,v2,0,0.033479008217442784,1.0256174815008057,-0.4258986797092751,0.903745983421098,21.740007937244147,1.3417644291799005,-0.1860570209500363,-0.3875195277853315,-0.12982043085402006,-0.29310671084865114,tier_loop_cc,0.7247921123293849,0.0335476160658099,-0.5037268186393921,"{""tier1"": 16, ""tier2"": 0, ""tier3"": 0}"
E5_B+T+V,1,1,,1,0.023572425481920567,0.9806468982430382,-0.3232545425425528,0.8348018114311552,19.272891615076407,1.0463163122972572,-0.21595744588849886,-0.2973286465341678,-0.08486603017242633,-0.2336922055849372,tier_loop_cc,0.8528719839174452,0.023974464984473597,-0.32325454254255304,"{""tier1"": 1, ""tier2"": 0, ""tier3"": 0}"
E5_B+T+F1+V,1,1,v1,1,0.0239462711304468,1.0091748270399328,-0.31999061221583913,0.8691207053519912,19.015396461685757,1.035875479795848,-0.14075209166944458,-0.2939396761095908,-0.08220097729552689,-0.21811866883933118,tier_loop_cc,0.8874938915360028,0.02434831063299985,-0.31999061221583935,"{""tier1"": 1, ""tier2"": 0, ""tier3"": 0}"
E5_B+T+F2+V,1,1,v2,1,0.021781531301083634,0.9388844141701436,-0.31275400495873196,0.7923788130622902,19.171862632462965,1.0006490050949135,-0.1394306921989773,-0.277791223879037,-0.13540241961699973,-0.2069952704111403,tier_loop_cc,0.8107316100918387,0.02218357080363668,-0.31275400495873185,"{""tier1"": 1, ""tier2"": 0, ""tier3"": 0}"
