universe,leverage,window,geo_monthly,arith_monthly,sharpe,max_drawdown,calmar
baseline,1.0,dev,0.021322798546151045,0.0240731992604628,1.0346825833384643,-0.3485668163628714,0.8265846705752593
baseline,1.5,dev,0.027769644121994785,0.0338374341416879,0.9870387923111994,-0.4869847379641623,0.799102942774958
baseline,2.0,dev,0.031533489627785016,0.041681483826966,0.9630570299844884,-0.6032436999238027,0.7483592574939588
pit_cache_only,1.0,dev,0.00801759079213138,0.009139861581093,0.575798556667136,-0.3219692275664633,0.3123563799334671
pit_cache_only,1.5,dev,0.009028438071886802,0.0115086398591621,0.5086145243532763,-0.4527857612721329,0.2515236707284899
pit_cache_only,2.0,dev,0.009268529756322197,0.0134670564666068,0.4814143065891534,-0.5646998281856886,0.2073154615315073
baseline,1.0,full,0.025136856689303544,0.0282316389509397,1.149784286062831,-0.3485668163628714,0.995634710724612
baseline,1.5,full,0.033089820338426446,0.0400131028068448,1.1001932007150466,-0.4869847379641623,0.9814283398375024
baseline,2.0,full,0.03681528198685324,0.048026519677106,1.0564821513903304,-0.6032436999238027,0.9004326525021653
pit_cache_only,1.0,full,0.009240836585888479,0.0104776794428181,0.6395357404548079,-0.3219692275664633,0.3624670846095665
pit_cache_only,1.5,full,0.010655138646491702,0.013417859444833,0.5676028107951243,-0.4527857612721329,0.2995398933267915
pit_cache_only,2.0,full,0.010842953359061491,0.015383651970552,0.5287266770892562,-0.5646998281856886,0.2446653042337827
delta_baseline_minus_pit,1.0,full,0.015896020103415065,0.0177539595081216,0.510248545608023,-0.02659758879640811,0.6331676261150454
delta_baseline_minus_pit,1.5,full,0.022434681691934744,0.0265952433620118,0.5325903899199222,-0.034198976692029426,0.6818884465107109
delta_baseline_minus_pit,2.0,full,0.025972328627791752,0.032642867706554,0.5277554743010742,-0.03854387173811402,0.6557673482683826
